product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description
AAVE-GBP,84.08,1.37448758138413,318.251,-53.50531564422511,0.001,0.01,1,10000000,0.001,1500,Aave,British Pound,False,False,False,online,False,False,False,False,False,SPOT,GBP,AAVE,,,,[],AAVE,GBP,False,0.01,AAVE-GBP,CBE,26758.54,2023-01-01T00:00:00Z,,,,,,,,False,
BAT-EUR,0.08334,-1.62889518413598,320769.02,-52.38784227846059,0.01,0.00001,1,10000000,0.01,340000,Basic Attention Token,Euro,False,False,False,online,False,False,False,False,False,SPOT,EUR,BAT,,,,[],BAT,EUR,False,0.00001,BAT-EUR,CBE,26732.89013,2023-01-01T00:00:00Z,,,,,,,,False,
KSM-USD,4.6,1.54525386313466,5749.0524,-44.53987826647999,0.0001,0.01,1,10000000,0.0001,310000,Kusama,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,KSM,,,,['KSM-USDC'],KSM,USD,False,0.01,KSM-USD,CBE,26445.64,2023-01-01T00:00:00Z,,,,,,,,False,
KSM-USDC,4.6,1.54525386313466,5749.0524,-44.53987826647999,0.0001,0.01,1,10000000,0.0001,310000,Kusama,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,KSM,,,KSM-USD,[],KSM,USD,False,0.01,KSM-USDC,CBE,26445.64,2023-01-01T00:00:00Z,,,,,,,,False,
SAFE-USD,0.1062,-0.74766355140187,247140.33,-27.78512113668884,0.01,0.0001,1,10000000,0.01,4219098.8692796280625815,Safe,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SAFE,,,,['SAFE-USDC'],SAFE,USD,False,0.0001,SAFE-USD,CBE,26246.3,2024-04-23T16:03:01.547Z,,,,,,,,False,
SAFE-USDC,0.1062,-0.74766355140187,247140.33,-27.78512113668884,0.01,0.0001,1,10000000,0.01,4219098.8692796280625815,Safe,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SAFE,,,SAFE-USD,[],SAFE,USD,False,0.0001,SAFE-USDC,CBE,26246.3,2024-04-23T16:03:01.547Z,,,,,,,,False,
VELO-USD,0.01456,-2.1505376344086,1802349.9,-71.27995389749938,0.1,0.00001,1,10000000,0.1,185889047.166271569128525,Velodrome Finance,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,VELO,,,,['VELO-USDC'],VELO,USD,False,0.00001,VELO-USD,CBE,26242.21,2024-02-05T20:13:00.310Z,,,,,,,,False,
VELO-USDC,0.01456,-2.1505376344086,1802349.9,-71.27995389749938,0.1,0.00001,1,10000000,0.1,185889047.166271569128525,Velodrome Finance,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,VELO,,,VELO-USD,[],VELO,USD,False,0.00001,VELO-USDC,CBE,26242.21,2024-02-05T20:13:00.310Z,,,,,,,,False,
ARPA-USD,0.0099,0,2625681.5,10.91976140487244,0.1,0.0001,1,10000000,0.1,261672100,ARPA Chain,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,ARPA,,,,['ARPA-USDC'],ARPA,USD,False,0.0001,ARPA-USD,CBE,25994.25,2023-01-01T00:00:00Z,,,,,,,,False,
ARPA-USDC,0.0099,0,2625681.5,10.91976140487244,0.1,0.0001,1,10000000,0.1,261672100,ARPA Chain,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,ARPA,,,ARPA-USD,[],ARPA,USD,False,0.0001,ARPA-USDC,CBE,25994.25,2023-01-01T00:00:00Z,,,,,,,,False,
